移动线路,#genre#
CCTV10,rtsp://171.35.135.103:554/PLTV/88888888/224/3221226986/10000100000000060000000000568543_0.smil
CCTV11,rtsp://171.35.128.110:554/PLTV/88888888/224/3221227307/10000100000000060000000001945885_0.smil
CCTV12,rtsp://171.35.128.109:554/PLTV/88888888/224/3221227234/10000100000000060000000000680049_0.smil
CCTV13,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227314/10000100000000060000000001945886_0.smil
CCTV14,rtsp://171.35.135.103:554/PLTV/88888888/224/3221227036/10000100000000060000000000570887_0.smil
CCTV15,rtsp://171.35.128.109:554/PLTV/88888888/224/3221227316/10000100000000060000000001945887_0.smil
CCTV16,rtsp://171.35.128.109:554/PLTV/88888888/224/3221227265/10000100000000060000000001629537_0.smil
CCTV17,rtsp://171.35.128.109:554/PLTV/88888888/224/3221227027/10000100000000060000000000570952_0.smil
CCTV4欧洲,rtsp://171.35.128.100:554/PLTV/88888888/224/3221227309/10000100000000060000000001945892_0.smil
CCTV4美洲,rtsp://171.35.128.100:554/PLTV/88888888/224/3221227311/10000100000000060000000001945895_0.smil
江苏卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227235/10000100000000060000000000680027_0.smil
湖南卫视,rtsp://171.35.128.110:554/PLTV/88888888/224/3221227037/10000100000000060000000000570888_0.smil
东方卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227230/10000100000000060000000000680053_0.smil
浙江卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227038/10000100000000060000000000570895_0.smil
北京卫视,rtsp://171.35.128.109:554/PLTV/88888888/224/3221227227/10000100000000060000000000680075_0.smil
江西卫视,rtsp://171.35.135.103:554/PLTV/88888888/224/3221226961/10000100000000060000000000543478_0.smil
四川卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227233/10000100000000060000000000680028_0.smil
天津卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227232/10000100000000060000000000680050_0.smil
山东卫视,rtsp://171.35.128.109:554/PLTV/88888888/224/3221227106/10000100000000060000000000679764_0.smil
广东卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227047/10000100000000060000000000571122_0.smil
深圳卫视,rtsp://171.35.128.100:554/PLTV/88888888/224/3221227228/10000100000000060000000000680074_0.smil
